1789088606.3056,0.0500,3.0000,-1.1999
1789088606.3872,0.1000,3.0000,-1.1994
1789088606.4614,0.1500,3.0000,-1.1987
1789088606.5384,0.2000,3.0000,-1.1976
1789088606.6055,0.2500,3.0000,-1.1963
1789088606.6715,0.3000,3.0000,-1.1947
1789088606.7382,0.3500,3.0000,-1.1928
1789088606.8076,0.4000,3.0000,-1.1905
1789088606.8739,0.4500,3.0000,-1.1880
1789088606.9398,0.5000,3.0000,-1.1852
1789088607.0063,0.5500,3.0000,-1.1821
1789088607.0721,0.6000,3.0000,-1.1787
1789088607.1426,0.6500,3.0000,-1.1751
1789088607.2146,0.7000,3.0000,-1.1711
1789088607.2815,0.7500,3.0000,-1.1668
1789088607.3484,0.8000,3.0000,-1.1623
1789088607.4160,0.8500,3.0000,-1.1575
1789088607.4830,0.9000,3.0000,-1.1524
1789088607.5476,0.9500,3.0000,-1.1469
1789088607.6148,1.0000,3.0000,-1.1413
1789088607.6827,1.0500,3.0000,-1.1353
1789088607.7509,1.1000,3.0000,-1.1291
1789088607.8173,1.1500,3.0000,-1.1225
1789088607.8840,1.2000,3.0000,-1.1157
1789088607.9503,1.2500,3.0000,-1.1087
1789088608.0171,1.3000,3.0000,-1.1013
1789088608.0844,1.3500,3.0000,-1.0937
1789088608.1511,1.4000,3.0000,-1.0858
1789088608.2174,1.4500,3.0000,-1.0776
1789088608.2843,1.5000,3.0000,-1.0692
1789088608.3514,1.5500,3.0000,-1.0605
1789088608.4189,1.6000,3.0000,-1.0516
1789088608.4855,1.6500,3.0000,-1.0424
1789088608.5523,1.7000,3.0000,-1.0329
1789088608.6179,1.7500,3.0000,-1.0232
1789088608.6834,1.8000,3.0000,-1.0132
1789088608.7501,1.8500,3.0000,-1.0030
1789088608.8164,1.9000,3.0000,-0.9925
1789088608.9353,1.9500,3.0000,-0.9818
1789088609.0120,2.0000,3.0000,-0.9708
1789088609.0784,2.0500,3.0000,-0.9596
1789088609.1474,2.1000,3.0000,-0.9482
1789088609.2151,2.1500,3.0000,-0.9365
1789088609.2835,2.2000,3.0000,-0.9246
1789088609.3493,2.2500,3.0000,-0.9125
1789088609.4170,2.3000,3.0000,-0.9001
1789088609.4852,2.3500,3.0000,-0.8876
1789088609.5516,2.4000,3.0000,-0.8748
1789088609.6186,2.4500,3.0000,-0.8618
1789088609.6846,2.5000,3.0000,-0.8485
1789088609.7511,2.5500,3.0000,-0.8351
1789088609.8171,2.6000,3.0000,-0.8215
1789088609.8851,2.6500,3.0000,-0.8076
1789088609.9513,2.7000,3.0000,-0.7936
1789088610.0182,2.7500,3.0000,-0.7793
1789088610.0850,2.8000,3.0000,-0.7649
1789088610.1516,2.8500,3.0000,-0.7503
1789088610.2181,2.9000,3.0000,-0.7355
1789088610.2838,2.9500,3.0000,-0.7205
1789088610.3495,3.0000,3.0000,-0.7054
1789088610.4157,3.0500,3.0000,-0.6900
1789088610.4824,3.1000,3.0000,-0.6745
1789088610.5490,3.1500,3.0000,-0.6588
1789088610.6171,3.2000,3.0000,-0.6430
1789088610.6828,3.2500,3.0000,-0.6270
1789088610.7492,3.3000,3.0000,-0.6109
1789088610.8155,3.3500,3.0000,-0.5946
1789088610.8828,3.4000,3.0000,-0.5781
1789088610.9513,3.4500,3.0000,-0.5615
1789088611.0173,3.5000,3.0000,-0.5448
1789088611.0838,3.5500,3.0000,-0.5280
1789088611.1496,3.6000,3.0000,-0.5110
1789088611.2161,3.6500,3.0000,-0.4939
1789088611.2845,3.7000,3.0000,-0.4766
1789088611.3511,3.7500,3.0000,-0.4593
1789088611.4169,3.8000,3.0000,-0.4418
1789088611.4826,3.8500,3.0000,-0.4242
1789088611.5482,3.9000,3.0000,-0.4065
1789088611.6153,3.9500,3.0000,-0.3888
1789088611.6816,4.0000,3.0000,-0.3709
1789088611.7472,4.0500,3.0000,-0.3529
1789088611.8139,4.1000,3.0000,-0.3349
1789088611.8809,4.1500,3.0000,-0.3167
1789088611.9489,4.2000,3.0000,-0.2985
1789088612.0151,4.2500,3.0000,-0.2802
1789088612.0823,4.3000,3.0000,-0.2619
1789088612.2212,4.3500,3.0000,-0.2434
1789088612.2878,4.4000,3.0000,-0.2249
1789088612.3870,4.4500,3.0000,-0.2064
1789088612.4541,4.5000,3.0000,-0.1878
1789088612.5201,4.5500,3.0000,-0.1692
1789088612.5857,4.6000,3.0000,-0.1505
1789088612.6530,4.6500,3.0000,-0.1318
1789088612.7213,4.7000,3.0000,-0.1130
1789088612.7883,4.7500,3.0000,-0.0943
1789088612.8548,4.8000,3.0000,-0.0755
1789088612.9222,4.8500,3.0000,-0.0567
1789088612.9903,4.9000,3.0000,-0.0378
1789088613.0591,4.9500,3.0000,-0.0190
1789088613.1259,5.0000,3.0000,-0.0001
1789088613.1915,5.0500,3.0000,0.0187
1789088613.2584,5.1000,3.0000,0.0375
1789088613.3255,5.1500,3.0000,0.0564
1789088613.3919,5.2000,3.0000,0.0752
1789088613.4581,5.2500,3.0000,0.0940
1789088613.5251,5.3000,3.0000,0.1127
1789088613.5926,5.3500,3.0000,0.1315
1789088613.6582,5.4000,3.0000,0.1502
1789088613.7241,5.4500,3.0000,0.1689
1789088613.7916,5.5000,3.0000,0.1875
1789088613.8589,5.5500,3.0000,0.2061
1789088613.9245,5.6000,3.0000,0.2246
1789088613.9908,5.6500,3.0000,0.2431
1789088614.0588,5.7000,3.0000,0.2615
1789088614.1261,5.7500,3.0000,0.2799
1789088614.1922,5.8000,3.0000,0.2982
1789088614.2584,5.8500,3.0000,0.3164
1789088614.3265,5.9000,3.0000,0.3345
1789088614.3926,5.9500,3.0000,0.3526
1789088614.4577,6.0000,3.0000,0.3705
1789088614.5255,6.0500,3.0000,0.3884
1789088614.5922,6.1000,3.0000,0.4062
1789088614.6590,6.1500,3.0000,0.4239
1789088614.7259,6.2000,3.0000,0.4414
1789088614.7927,6.2500,3.0000,0.4589
1789088614.8592,6.3000,3.0000,0.4763
1789088614.9256,6.3500,3.0000,0.4935
1789088614.9924,6.4000,3.0000,0.5106
1789088615.0588,6.4500,3.0000,0.5276
1789088615.1257,6.5000,3.0000,0.5444
1789088615.1920,6.5500,3.0000,0.5612
1789088615.2585,6.6000,3.0000,0.5777
1789088615.3255,6.6500,3.0000,0.5942
1789088615.3915,6.7000,3.0000,0.6105
1789088615.4572,6.7500,3.0000,0.6266
1789088615.5236,6.8000,3.0000,0.6426
1789088615.5933,6.8500,3.0000,0.6584
1789088615.6597,6.9000,3.0000,0.6741
1789088615.7260,6.9500,3.0000,0.6896
1789088615.7932,7.0000,3.0000,0.7049
1789088615.8591,7.0500,3.0000,0.7201
1789088615.9252,7.1000,3.0000,0.7351
