cmd_vx,cmd_yaw,conf,event,frame_age,fw_ts,px,py,pz,size,size_bucket,t,tracking,wall,x,x_bin,x_soft,yaw
0.0,0.0,0.9628621339797974,,0.04110979096731171,15345,-3.150638116285881e-13,-1.7113126711608244e-14,0.843934178352356,0.375,1,12.058755667007063,0,1789088621.430642,-0.444444477558136,2,-0.4398621916770935,0.0
0.0,0.0,0.9572325348854065,,0.02338379097636789,15392,-3.3533400123526846e-13,-1.8359943963373523e-14,0.8426069021224976,0.375,1,12.106200500042178,0,1789088621.478088,-0.444444477558136,2,-0.4379045367240906,0.0
0.2,26.76315665245056,0.9875446557998657,,0.022188583971001208,15441,-3.6254262395993275e-13,-2.003132462148876e-14,0.8409794569015503,0.375,1,12.172899583005346,1,1789088621.544788,-0.444444477558136,2,-0.446052610874176,0.0
0.2,26.269145607948303,0.9893013834953308,,0.0011864170082844794,15491,-3.872890777609911e-13,-2.1543683314086473e-14,0.8395814299583435,0.375,1,12.218162083008792,1,1789088621.5900521,-0.444444477558136,2,-0.43781909346580505,0.0
0.0,26.18051826953888,0.9967606663703918,,0.007371083018369973,15592,0.00011386294499970973,-3.865409325953806e-07,0.8365736603736877,0.625,2,12.291035667003598,1,1789088621.6629272,-0.444444477558136,2,-0.4363419711589813,0.02571176551282406
0.0,26.099154353141785,0.9982286095619202,,0.011254750017542392,15641,0.000728182727470994,-4.1669227357488126e-07,0.8352641463279724,0.625,2,12.362769292027224,1,1789088621.7346618,-0.444444477558136,2,-0.4349859058856964,0.137560173869133
0.2,25.995512008666992,0.9984466433525085,,0.014547084050718695,15741,0.004217600915580988,1.7611753719393164e-05,0.8330660462379456,0.375,1,12.434785999997985,1,1789088621.80668,-0.444444477558136,2,-0.4332585334777832,0.8146538734436035
0.2,25.350385308265686,0.9991549253463745,,0.021342875028494745,15791,0.006014104001224041,2.5722132704686373e-05,0.8320079445838928,0.375,1,12.507205417030491,1,1789088621.879101,-0.444444477558136,2,-0.4225064218044281,1.5008883476257324
0.0,24.899942278862,0.9977589845657349,,0.0048387080314569175,15841,0.007402106653898954,8.372428965230938e-06,0.8310630321502686,0.625,2,12.557238000037614,1,1789088621.929135,-0.444444477558136,2,-0.4149990379810333,2.4661176204681396
0.0,23.017605543136597,0.9937732815742493,,0.010652667027898133,15891,0.008901766501367092,1.8648159311851487e-05,0.8301851749420166,0.625,2,12.628677292028442,1,1789088622.000576,-0.444444477558136,2,-0.3836267590522766,3.610377311706543
0.0,19.342018961906433,0.9978785514831543,,0.013041208032518625,15991,0.014643359929323196,0.0002222485636593774,0.828539252281189,0.625,2,12.697375542018563,1,1789088622.069275,-0.2222222238779068,3,-0.32236698269844055,6.041154861450195
0.2,14.129977226257324,0.9994674324989319,,0.022106542019173503,16042,0.01737300679087639,0.00025797111447900534,0.827810525894165,0.375,1,12.77240499999607,1,1789088622.144307,-0.2222222238779068,3,-0.23549962043762207,7.259696960449219
0.0,14.296649694442749,0.9961081147193909,,0.00037212501047179103,16092,0.019375555217266083,0.00024337650393135846,0.8271819949150085,0.625,2,12.82093604200054,1,1789088622.192838,-0.2222222238779068,3,-0.23827749490737915,8.275425910949707
0.0,13.59446793794632,0.9756367802619934,,0.007840167032554746,16192,0.02242843434214592,0.00038735134876333177,0.8263095021247864,0.625,2,12.895899666997138,1,1789088622.267804,-0.2222222238779068,3,-0.22657446563243866,9.610377311706543
0.0,12.64869511127472,0.9948742985725403,,0.013537542021367699,16241,0.024390749633312225,0.0005416817148216069,0.8259797096252441,0.625,2,12.968127333035227,1,1789088622.340033,-0.2222222238779068,3,-0.210811585187912,10.184609413146973
0.2,12.452049851417542,0.9979514479637146,,0.021111958019901067,16342,0.029217075556516647,0.0009647440165281296,0.8254271745681763,0.375,1,13.042286167037673,1,1789088622.414193,-0.2222222238779068,3,-0.20753416419029236,11.382430076599121
0.0,12.491075992584229,0.9993057250976562,,0.0022388750221580267,16391,0.03067934513092041,0.0010739187709987164,0.8252356648445129,0.625,2,13.090289167012088,1,1789088622.462197,-0.2222222238779068,3,-0.2081845998764038,11.750429153442383
0.0,12.05977588891983,0.9948029518127441,,0.007651874970179051,16441,0.03234970569610596,0.0012206631945446134,0.8250940442085266,0.625,2,13.16217708302429,1,1789088622.534087,-0.2222222238779068,3,-0.2009962648153305,12.303912162780762
0.0,9.583880603313446,0.9931469559669495,,0.015030290989670902,16542,0.03646467998623848,0.0016907698009163141,0.8248802423477173,0.625,2,13.236441667017061,1,1789088622.6083531,-0.2222222238779068,3,-0.15973134338855743,13.619383811950684
0.0,5.286832898855209,0.9973545074462891,,0.020850000029895455,16592,0.03862308710813522,0.0019766944460570812,0.8247953653335571,0.625,2,13.308670875034295,1,1789088622.680584,0.0,4,-0.08811388164758682,14.26213550567627
0.0,0.0,0.9925320744514465,,0.022582249948754907,16642,0.04046984761953354,0.002212479477748275,0.8247314095497131,0.625,2,13.377248667005915,1,1789088622.749163,0.0,4,-0.0417046844959259,14.958550453186035
0.0,0.0,0.9966332316398621,,0.005073750042356551,16692,0.04191358759999275,0.002385298255831003,0.8246806263923645,0.625,2,13.432180042029358,1,1789088622.804096,0.0,4,-0.02949785441160202,15.532267570495605
0.2,0.0,0.9750621914863586,,0.014386708033271134,16792,0.044485919177532196,0.002749204635620117,0.8246102333068848,0.375,1,13.502381917031016,1,1789088622.8742988,0.0,4,-0.0292687825858593,16.381128311157227
0.0,0.0,0.9675936102867126,,0.014548291044775397,16841,0.045636359602212906,0.002927386900410056,0.8245820999145508,0.625,2,13.56874570803484,1,1789088622.940664,0.0,4,-0.039621394127607346,16.734041213989258
0.0,0.0,0.9915347695350647,,0.023887415998615324,16942,0.04796680063009262,0.003341750241816044,0.8245006203651428,0.625,2,13.645527207991108,1,1789088623.017448,0.0,4,-0.029968632385134697,17.2297420501709
0.0,0.0,0.9663668274879456,,0.00885174999712035,16991,0.04947533831000328,0.0036577959544956684,0.8244290351867676,0.625,2,13.697148625040427,1,1789088623.06907,0.0,4,-0.02917618304491043,17.345874786376953
0.0,0.0,0.9852967858314514,,0.015965750033501536,17041,0.051746923476457596,0.0042208218947052956,0.8243049383163452,0.625,2,13.769363583007362,1,1789088623.1412868,0.0,4,0.004963329527527094,17.449665069580078
0.0,0.0,0.9855169653892517,,0.0240728750359267,17141,0.054597385227680206,0.00491462554782629,0.8240148425102234,0.625,2,13.842674917017575,1,1789088623.214599,0.0,4,-0.009449752978980541,17.567893981933594
0.0,0.0,0.9804002046585083,,0.005082666990347207,17191,0.055426955223083496,0.005098460707813501,0.8238966464996338,0.625,2,13.889717457990628,1,1789088623.261643,0.0,4,-0.008188009262084961,17.62376594543457
0.0,0.0,0.9977802634239197,,0.0060743329813703895,17241,0.0565350167453289,0.0053769745863974094,0.8237415552139282,0.625,2,13.960235042031854,1,1789088623.3321621,0.0,4,0.011587255634367466,17.674213409423828
0.2,0.0,0.9967232346534729,,0.011513374978676438,17291,0.05734407156705856,0.0055932248942554,0.8235992193222046,0.375,1,14.032557792030275,1,1789088623.404486,0.0,4,0.007689380086958408,17.688589096069336
0.2,0.0,0.9826562404632568,,0.009810041985474527,17391,0.058456696569919586,0.005887605249881744,0.8232793807983398,0.375,1,14.098004167026374,1,1789088623.469934,0.0,4,0.009486268274486065,17.770822525024414
0.0,0.0,0.997815728187561,,0.018632124993018806,17442,0.05916192755103111,0.006090456619858742,0.8231098651885986,0.625,2,14.173238374991342,1,1789088623.5451698,0.0,4,0.008803226053714752,17.825328826904297
0.0,0.0,0.9960624575614929,,0.0240564169944264,17541,0.062059126794338226,0.0069166324101388454,0.8227388858795166,0.625,2,14.245753167022485,1,1789088623.617686,0.0,4,0.015006432309746742,17.863117218017578
0.0,0.0,0.998288094997406,,0.0025719170225784183,17591,0.06497489660978317,0.007763837929815054,0.8224734663963318,0.625,2,14.29059370799223,1,1789088623.662528,0.0,4,0.028834223747253418,17.881330490112305
0.0,0.0,0.9975441098213196,,0.003627499972935766,17641,0.06786242872476578,0.008646930567920208,0.8222011923789978,0.625,2,14.358402875019237,1,1789088623.730338,0.0,4,0.04850706085562706,17.898571014404297
0.0,0.0,0.9945474863052368,,0.0036140409647487104,17692,0.06991680711507797,0.00930385198444128,0.8219349384307861,0.625,2,14.425148167007137,1,1789088623.797085,0.0,4,0.05605931207537651,17.90500259399414
0.0,-5.4877303540706635,0.9881725907325745,,0.004912665986921638,17792,0.07270120829343796,0.01021402608603239,0.8214510083198547,0.625,2,14.493284541997127,1,1789088623.865223,0.0,4,0.09146217256784439,17.905498504638672
0.0,-8.119650185108185,0.9982531666755676,,0.008285375020932406,17842,0.07386244088411331,0.010607427917420864,0.8212222456932068,0.625,2,14.562548250018153,1,1789088623.934488,0.2222222238779068,5,0.1353275030851364,17.90308380126953
0.0,-6.0260555148124695,0.9891581535339355,,0.016940250003244728,17941,0.07534770667552948,0.011150223203003407,0.820755124092102,0.625,2,14.638331875030417,1,1789088624.010273,0.0,4,0.10043425858020782,17.86998176574707
0.0,-6.607897728681564,0.9750242233276367,,0.021238540997728705,17991,0.07596983760595322,0.011357034556567669,0.8205637335777283,0.625,2,14.709277832997032,1,1789088624.081221,0.2222222238779068,5,0.1101316288113594,17.83505630493164
0.0,-8.050998151302338,0.996507465839386,,0.003633083018939942,18041,0.0767735093832016,0.01163430605083704,0.8203207850456238,0.625,2,14.757703000039328,1,1789088624.129647,0.2222222238779068,5,0.13418330252170563,17.744367599487305
0.0,-8.156193494796753,0.9955158829689026,,0.008687916037160903,18091,0.07754099369049072,0.011903897859156132,0.8200767636299133,0.625,2,14.82942595804343,1,1789088624.201371,0.2222222238779068,5,0.13593655824661255,17.58550453186035
0.0,-7.590621113777161,0.9956496357917786,,0.013549249968491495,18192,0.07894627004861832,0.012406893074512482,0.8196120858192444,0.625,2,14.900799542025197,1,1789088624.272747,0.2222222238779068,5,0.126510351896286,17.073623657226562
0.0,-6.979585736989975,0.9941208958625793,,0.01735095796175301,18242,0.07962666451931,0.012653839774429798,0.819399356842041,0.625,2,14.971564917010255,1,1789088624.343513,0.2222222238779068,5,0.11632642894983292,16.74932289123535
0.0,-7.1872445940971375,0.995165228843689,,0.001759458042215556,18292,0.0802275761961937,0.012880361638963223,0.8192128539085388,0.625,2,15.022378958004992,1,1789088624.394328,0.2222222238779068,5,0.11978740990161896,16.43609619140625
0.0,-7.631812691688538,0.9945132732391357,,0.0081609160406515,18391,0.08124729990959167,0.013299217447638512,0.8188020586967468,0.625,2,15.095002292015124,1,1789088624.466954,0.2222222238779068,5,0.12719687819480896,15.724693298339844
0.0,-8.26840192079544,0.9953650236129761,,0.012280291004572064,18442,0.08173323422670364,0.013511191122233868,0.8185697197914124,0.625,2,15.166516458033584,1,1789088624.538469,0.2222222238779068,5,0.137806698679924,15.346007347106934
0.0,-8.750064969062805,0.9969915151596069,,0.015855458041187376,18541,0.08246792107820511,0.013865623623132706,0.8181289434432983,0.625,2,15.236945000011474,1,1789088624.608899,0.2222222238779068,5,0.14583441615104675,14.769925117492676
0.0,-8.967334628105164,0.9972780346870422,,0.018367832992225885,18591,0.08272261172533035,0.014003015123307705,0.81795334815979,0.625,2,15.304948750010226,1,1789088624.676904,0.2222222238779068,5,0.14945557713508606,14.566471099853516
0.0,-8.929202556610107,0.9971432089805603,,0.00118470803136006,18642,0.08298998326063156,0.014155597425997257,0.8177240490913391,0.625,2,15.353540375013836,1,1789088624.725497,0.2222222238779068,5,0.14882004261016846,14.286025047302246
0.0,-8.374117612838745,0.9965494871139526,,0.004868415999226272,18692,0.08320498466491699,0.014281283132731915,0.8175340890884399,0.625,2,15.425580667040776,1,1789088624.797539,0.2222222238779068,5,0.13956862688064575,14.0409517288208
0.0,-8.552500605583191,0.9966562986373901,,0.009596833027899265,18792,0.08356478810310364,0.014519594609737396,0.8171259760856628,0.625,2,15.496245832997374,1,1789088624.868206,0.2222222238779068,5,0.14254167675971985,13.452116012573242
0.0,-8.583078682422638,0.995835542678833,,0.01107779098674655,18841,0.08372210711240768,0.01463799923658371,0.8168954253196716,0.625,2,15.564788957999554,1,1789088624.9367502,0.2222222238779068,5,0.14305131137371063,13.081263542175293
0.0,-7.935928702354431,0.9959587454795837,,0.017274542013183236,18943,0.08398199081420898,0.014848105609416962,0.8164893984794617,0.625,2,15.636283875035588,1,1789088625.0082471,0.2222222238779068,5,0.13226547837257385,12.368247032165527
0.0,-7.04055055975914,0.995993971824646,,0.0027761669480241835,18991,0.08409517258405685,0.014956159517168999,0.8162687420845032,0.625,2,15.687243207998108,1,1789088625.059207,0.2222222238779068,5,0.117342509329319,11.951678276062012
0.0,-5.154178440570831,0.9931859970092773,,0.009932790999300778,19042,0.08418933302164078,0.015057148411870003,0.8160626292228699,0.625,2,15.760058208019473,1,1789088625.132024,0.0,4,0.08590297400951385,11.539860725402832
0.0,-6.025009006261826,0.9914275407791138,,0.011831542011350393,19093,0.0842728391289711,0.015156103298068047,0.8158532381057739,0.625,2,15.828538000001572,1,1789088625.200505,0.0,4,0.10041681677103043,11.12221622467041
0.0,-6.29003718495369,0.9940177202224731,,0.015388958971016109,19191,0.08439835906028748,0.015333632007241249,0.815478503704071,0.625,2,15.899464500020258,1,1789088625.2714329,0.0,4,0.10483395308256149,10.444870948791504
0.0,-5.989280641078949,0.9965218305587769,,0.02174908301094547,19242,0.08445321768522263,0.015436576679348946,0.8152594566345215,0.625,2,15.974569833022542,1,1789088625.3465412,0.0,4,0.09982134401798248,10.110671997070312
0.0,-6.240226328372955,0.9979562759399414,,0.004831625032238662,19292,0.0844954177737236,0.01553424634039402,0.8150438070297241,0.625,2,16.0231907920097,1,1789088625.395162,0.0,4,0.10400377213954926,9.83080768585205
0.0,-6.509258151054382,0.9978146553039551,,0.001210415968671441,19391,0.08455463498830795,0.01570884883403778,0.8146925568580627,0.625,2,16.085639125027228,1,1789088625.457612,0.2222222238779068,5,0.10848763585090637,9.456846237182617
0.0,-6.236854791641235,0.9993048906326294,,0.006660208047833294,19441,0.08457763493061066,0.015808695927262306,0.8144943118095398,0.625,2,16.157976916991174,1,1789088625.5299509,0.0,4,0.10394757986068726,9.24953556060791
0.0,-7.588239312171936,0.9995021820068359,,0.008010959019884467,19492,0.08459309488534927,0.015907442197203636,0.8143016695976257,0.625,2,16.225967042031698,1,1789088625.597943,0.2222222238779068,5,0.1264706552028656,9.029829025268555
0.0,-9.037821292877197,0.9996073842048645,,0.010630417033098638,19592,0.08460880070924759,0.016099488362669945,0.8139448761940002,0.625,2,16.296843708027154,1,1789088625.668821,0.2222222238779068,5,0.15063035488128662,8.529561042785645
0.0,-9.141519963741302,0.9997217059135437,,0.013366082974243909,19642,0.08461304754018784,0.016206130385398865,0.81375652551651,0.625,2,16.365375375025906,1,1789088625.737354,0.2222222238779068,5,0.15235866606235504,8.195725440979004
0.0,-9.173881709575653,0.9997226595878601,,0.019512124999891967,19741,0.08461244404315948,0.01640550047159195,0.8134111762046814,0.625,2,16.437442583031952,1,1789088625.8094232,0.2222222238779068,5,0.15289802849292755,7.523577690124512
0.0,-9.658433496952057,0.9997792840003967,,0.0034334579831920564,19792,0.08460827171802521,0.016496621072292328,0.8132665753364563,0.625,2,16.487187332997564,1,1789088625.859169,0.2222222238779068,5,0.16097389161586761,7.232300281524658
0.0,-10.544559359550476,0.9998538494110107,,0.011796667007729411,19842,0.08460202068090439,0.016604028642177582,0.8130908608436584,0.625,2,16.562496625003405,1,1789088625.93448,0.2222222238779068,5,0.17574265599250793,6.8585004806518555
0.0,-10.45219749212265,0.9997523427009583,,0.01769233396044001,19942,0.08458951860666275,0.016807742416858673,0.8127562403678894,0.625,2,16.635694249998778,1,1789088626.007678,0.2222222238779068,5,0.1742032915353775,6.141702651977539
0.0,-10.307071208953857,0.9997453093528748,,0.024440833018161356,19992,0.08458305150270462,0.016889287158846855,0.8126317262649536,0.625,2,16.710200583038386,1,1789088626.082187,0.2222222238779068,5,0.17178452014923096,5.878467082977295
0.0,-10.32725214958191,0.9997697472572327,,0.006148874992504716,20046,0.08457368612289429,0.01700754277408123,0.8124377727508545,0.625,2,16.757272417016793,1,1789088626.129259,0.2222222238779068,5,0.1721208691596985,5.422616481781006
0.0,-10.314097702503204,0.9997377991676331,,0.009726874995976686,20091,0.08456550538539886,0.01709076389670372,0.8123013377189636,0.625,2,16.826609250041656,1,1789088626.198598,0.2222222238779068,5,0.1719016283750534,5.117037773132324
0.0,-10.553975701332092,0.9997162222862244,,0.014637915999628603,20191,0.08454369753599167,0.01726214401423931,0.8120158314704895,0.625,2,16.89853220799705,1,1789088626.270522,0.2222222238779068,5,0.17589959502220154,4.443681716918945
0.0,-10.0909423828125,0.9998146891593933,,0.019642041996121407,20242,0.08452985435724258,0.017349962145090103,0.8118662238121033,0.625,2,16.972150000045076,1,1789088626.3441422,0.2222222238779068,5,0.168182373046875,4.086503982543945
0.0,-9.058184623718262,0.9996895790100098,,0.021338874998036772,20343,0.08450299501419067,0.017510874196887016,0.8115736246109009,0.625,2,17.041071167041082,1,1789088626.413064,0.2222222238779068,5,0.1509697437286377,3.287306070327759
0.0,-8.88397604227066,0.9993677735328674,,0.0021269170101732016,20391,0.0844917818903923,0.01757526770234108,0.8114547729492188,0.625,2,17.087763167044614,1,1789088626.459757,0.2222222238779068,5,0.14806626737117767,2.954859495162964
0.0,-9.112565517425537,0.9994445443153381,,0.0036617079749703407,20441,0.08447913825511932,0.01765124499797821,0.8113014101982117,0.625,2,17.155978000024334,1,1789088626.527974,0.2222222238779068,5,0.15187609195709229,2.484546422958374
0.0,-9.298595488071442,0.9990873336791992,,0.004729125008452684,20492,0.08446786552667618,0.01772419735789299,0.8111358880996704,0.625,2,17.224248500016984,1,1789088626.596246,0.2222222238779068,5,0.15497659146785736,1.9819661378860474
0.0,-8.920117020606995,0.9989081621170044,,0.011548541020601988,20592,0.08445269614458084,0.017837654799222946,0.8108640909194946,0.625,2,17.29713795799762,1,1789088626.6691358,0.2222222238779068,5,0.14866861701011658,1.2328171730041504
0.0,-7.316780537366867,0.9992080330848694,,0.01457391696749255,20641,0.08444828540086746,0.017893314361572266,0.8107147216796875,0.625,2,17.365934292029124,1,1789088626.737934,0.2222222238779068,5,0.12194634228944778,0.8822672367095947
0.0,-6.242024749517441,0.9995843768119812,,0.020599749987013638,20741,0.08444862812757492,0.017984556034207344,0.8104258179664612,0.625,2,17.437854167015757,1,1789088626.809856,0.2222222238779068,5,0.10403374582529068,0.10778238624334335
0.0,-5.158559828996658,0.9994908571243286,,0.0023375420132651925,20741,0.08444862812757492,0.017984556034207344,0.8104258179664612,0.625,2,17.485335750039667,1,1789088626.8573382,0.0,4,0.0859759971499443,0.10778238624334335
0.0,0.0,0.999531626701355,,0.00783737504389137,20841,0.08445584774017334,0.018050791695713997,0.8101786971092224,0.625,2,17.557185999990907,1,1789088626.92919,0.0,4,0.0771021917462349,-0.5185025930404663
0.0,0.0,0.9992660880088806,,0.014053333958145231,20891,0.08446229994297028,0.018081065267324448,0.8100480437278748,0.625,2,17.630748499999754,1,1789088627.002754,0.0,4,0.0724007785320282,-0.860140860080719
0.0,0.0,0.9992425441741943,,0.024527084024157375,20992,0.08447624742984772,0.018133725970983505,0.8098059892654419,0.625,2,17.70675404201029,1,1789088627.0787609,0.0,4,0.071104034781456,-1.485416293144226
