applied_lat_ms,applied_t,cmd_vx,cmd_yaw,conf,event,frame_age,frame_count,fw_ts,infer_ms,pitch,px,py,pz,roll,round_trip_ms,size,size_bucket,streak,t,t_proc,torn_frames,tracking,vis_gate,wall,x,x_bin,x_soft,yaw
155.41599999414757,13.836143082997296,0.0,0.0,0.5417071908637365,,0.05280495900660753,163,16765,1.8001669668592513,0.0,6.526968093605034e-13,2.3698360981927458e-12,0.8635573387145996,0.0,2.2691250196658075,0.125,0,0,13.736640333023388,13.733532042009756,0,0,0,1789192346.84237,0.0,4,-0.018451072278811827,0.0
154.59108300274238,13.99801258300431,0.0,0.0,0.5110020075675983,,0.04455820802832022,165,16922,0.7280000136233866,0.0,6.82685624611018e-13,2.476594233510876e-12,0.8534106016159058,0.0,0.8745830273255706,0.125,0,0,13.889211625035387,13.887979708029889,0,0,0,1789192346.994941,0.0,4,-0.012134141115800197,0.0
157.73720800643787,14.166044208046515,0.0,0.0,0.48262202909444096,,0.03477374999783933,167,17063,1.031499996315688,0.0,7.109032871925602e-13,2.57713728829545e-12,0.8445357084274292,0.0,1.2012500083073974,0.125,0,0,14.044761750032194,14.043080750037916,0,0,0,1789192347.1504939,0.0,4,0.003997458087898767,0.0
162.3093329835683,14.338040208036546,0.0,0.0,0.5324131300813394,,0.024542666971683502,169,17221,0.9397499961778522,0.0,7.471860044745704e-13,2.7065461417202785e-12,0.8347707986831665,0.0,1.1262919870205224,0.125,0,0,14.201854292012285,14.20027354202466,0,0,0,1789192347.307589,0.0,4,-0.008543901214502457,0.0
153.26741698663682,14.49749379203422,0.0,0.0,0.5252520279558152,,0.01793274999363348,171,17413,1.0900409542955458,0.0,7.887641277973256e-13,2.855027846082603e-12,0.8258669972419739,0.0,1.3160830130800605,0.125,0,0,14.363993958046194,14.362159125041217,0,0,0,1789192347.469732,0.0,4,-0.024551964826468473,0.0
153.2687500002794,14.666833333030809,0.0,0.0,0.5645549715095571,,0.0031710839830338955,173,17563,1.0043339570984244,0.0,8.248295709639697e-13,2.9839837198397667e-12,0.8200682401657104,0.0,1.1754159932024777,0.125,0,0,14.518362583010457,14.516735667013563,0,0,0,1789192347.6241028,0.0,4,-0.03187986438870427,0.0
154.96574999997392,14.752123250043951,0.0,0.0,0.5356139551864944,,0.07389891700586304,174,17717,1.0912080178968608,0.0,8.61294054740197e-13,3.1145073499383447e-12,0.8158178329467773,0.0,1.3697909889742732,0.125,0,0,14.67299108300358,14.67105641704984,0,0,0,1789192347.778734,0.0,4,-0.01603077952881409,0.0
155.84058297099546,14.916837750002742,0.0,0.0,0.5360638421215018,,0.06751662498572841,176,17813,1.758083002641797,0.0,8.957731474981689e-13,3.238049585407854e-12,0.8130285143852234,0.0,2.1040839492343366,0.125,0,0,14.831363292003516,14.828513792017475,0,0,0,1789192347.937109,0.0,4,-0.004466122401640085,0.0
153.8468329817988,15.081026708008721,0.0,0.0,0.5319127533178643,,0.05792966700391844,178,17971,1.257041993085295,0.0,9.479801926087772e-13,3.4252707007548233e-12,0.8116774559020996,0.0,1.4874159824103117,0.125,0,0,14.987104250001721,14.985109542030841,0,0,0,1789192348.092851,0.0,4,-0.005412583895813616,0.0
156.5862080315128,15.252286625036504,0.0,0.0,0.5195355838066192,,0.0441426660399884,180,18113,1.2231249711476266,0.0,9.854506533707452e-13,3.559821274562447e-12,0.8122312426567078,0.0,1.4340420020744205,0.125,0,0,15.14184875000501,15.13984308304498,0,0,0,1789192348.2475982,0.0,4,-0.02310918793445664,0.0
