applied_lat_ms,applied_t,cmd_vx,cmd_yaw,conf,event,frame_age,frame_count,fw_ts,pitch,px,py,pz,roll,size,size_bucket,t,t_proc,torn_frames,tracking,wall,x,x_bin,x_soft,yaw
154.79549998417497,11.136914832983166,0.0,0.0,0.38303202390670776,,0.029871582984924316,171,14190,0.0,8.404098272331295e-13,3.1343491170565674e-12,0.8448438048362732,0.0,0.125,0,11.049260083003901,11.011990915983915,0,0,1789099693.396839,-0.8888888955116272,0,-0.06376791000366211,0.0
153.42133300146088,11.267148415965494,0.0,0.0,0.4017983675003052,,0.05226554203545675,173,14291,0.0,8.744918851555372e-13,3.262637555956349e-12,0.8422225117683411,0.0,0.125,0,11.16927329095779,11.16599262499949,0,0,1789099693.516905,-0.8888888955116272,0,-0.07029740512371063,0.0
153.6695830291137,11.469017666007858,0.0,0.0,0.41680818796157837,,0.004612958000507206,176,14444,0.0,9.268377081442236e-13,3.4600117909677763e-12,0.8388935327529907,0.0,0.125,0,11.32643387495773,11.319961040979251,0,0,1789099693.6741388,0.8888888955116272,8,-0.05331924557685852,0.0
153.58616603771225,11.602264665998518,0.0,0.0,0.4345526695251465,,0.026315250026527792,178,14601,0.0,9.856506886715688e-13,3.682268032156877e-12,0.8361814618110657,0.0,0.125,0,11.478639375010971,11.474993749987334,0,0,1789099693.826416,0.8888888955116272,8,-0.05365002900362015,0.0
154.58783297799528,11.734231332957279,0.0,0.0,0.4329513907432556,,0.0493895830004476,180,14740,0.0,1.0390796296305682e-12,3.88465431697127e-12,0.8343515992164612,0.0,0.125,0,11.633047749986872,11.629033082979731,0,0,1789099693.980893,0.8888888955116272,8,-0.04625483602285385,0.0
155.36258299835026,11.937564207997639,0.0,0.0,0.443420946598053,,0.0023868329590186477,183,14889,0.0,1.0970518113731509e-12,4.104748659028434e-12,0.8328001499176025,0.0,0.125,0,11.790217000001576,11.784588457958307,0,0,1789099694.138135,0.8888888955116272,8,-0.04967376962304115,0.0
153.80520903272554,12.067540124990046,0.0,0.0,0.4375627338886261,,0.02510762499878183,185,15041,0.0,1.1561460339440388e-12,4.329601781261072e-12,0.8315699100494385,0.0,0.125,0,11.954917999973986,11.938842540956102,0,0,1789099694.302903,0.8888888955116272,8,-0.048716191202402115,0.0
156.01666702423245,12.20631899998989,0.0,0.0,0.43658891320228577,,0.04276654199929908,187,15139,0.0,1.1982712998931389e-12,4.49021765949742e-12,0.8308059573173523,0.0,0.125,0,12.099092415999621,12.093068874964956,0,0,1789099694.4471412,0.8888888955116272,8,-0.049566738307476044,0.0
153.45899999374524,12.34100870799739,0.0,0.0,0.45042750239372253,,0.06346341699827462,189,15340,0.0,1.2837770126464254e-12,4.816980148092398e-12,0.8294363617897034,0.0,0.125,0,12.259329708002042,12.251013125001919,0,0,1789099694.607448,0.8888888955116272,8,-0.05108784884214401,0.0
153.7633749539964,12.539641790965106,0.0,0.0,0.4406238794326782,,0.019088083994574845,192,15439,0.0,1.3301264386797462e-12,4.994523891688196e-12,0.8287597894668579,0.0,0.125,0,12.409911457973067,12.404966500005685,0,0,1789099694.758095,0.8888888955116272,8,-0.06153986230492592,0.0
155.29779205098748,12.6730109580094,0.0,0.0,0.44084081053733826,,0.041392042010556906,194,15590,0.0,1.4024615887023306e-12,5.272208451062577e-12,0.8277944326400757,0.0,0.125,0,12.563635665981565,12.559105207968969,0,0,1789099694.911885,0.8888888955116272,8,-0.06153826415538788,0.0
153.60254200641066,12.804034458007663,0.0,0.0,0.4362398087978363,,0.06257374997949228,196,15744,0.0,1.4747977145068702e-12,5.5506831769802645e-12,0.8268519639968872,0.0,0.125,0,12.719143665977754,12.713005665980745,0,0,1789099695.0674582,0.8888888955116272,8,-0.06016354262828827,0.0
153.13950000563636,13.003154082980473,0.0,0.0,0.4364278316497803,,0.016960458015091717,199,15896,0.0,1.5524902327243573e-12,5.850557885378471e-12,0.8258475661277771,0.0,0.125,0,12.874549750005826,12.866975040989928,0,0,1789099695.2229278,-0.8888888955116272,0,-0.0708702951669693,0.0
155.21300002001226,13.135632165998686,0.0,0.0,0.43475624918937683,,0.04359050001949072,201,16039,0.0,1.6290532291185489e-12,6.146836512010978e-12,0.8249322772026062,0.0,0.125,0,13.028547499969136,13.024009665998165,0,0,1789099695.376988,-0.8888888955116272,0,-0.07548045367002487,0.0
153.29445799579844,13.269403290993068,0.0,0.0,0.43228045105934143,,0.06472137500531971,203,16189,0.0,1.706755396735371e-12,6.448396070585227e-12,0.8240408897399902,0.0,0.125,0,13.182976457988843,13.18083020800259,0,0,1789099695.531481,-0.8888888955116272,0,-0.08335085958242416,0.0
154.85250001074746,13.470622332999483,0.0,0.0,0.43046244978904724,,0.020159041974693537,206,16340,0.0,1.7850589712972709e-12,6.7531609644622126e-12,0.8231254816055298,0.0,0.125,0,13.339524332957808,13.335928874963429,0,0,1789099695.6880908,-0.8888888955116272,0,-0.08216506242752075,0.0
153.90970901353285,13.604105249978602,0.0,0.0,0.43164390325546265,,0.04217445902759209,208,16490,0.0,1.8716874838203834e-12,7.091146680265892e-12,0.8221836686134338,0.0,0.125,0,13.495435290969908,13.492369999992661,0,0,1789099695.844068,-0.8888888955116272,0,-0.08103804290294647,0.0
