# bodies: subj_dog,subj_cat
1789192690.4203,0.0500,2.6000,-1.3000,0.3250,2.2000,0.9000,0.2000
1789192690.5618,0.1000,2.6000,-1.2999,0.3250,2.2000,0.9000,0.2000
1789192690.6505,0.1500,2.6000,-1.2997,0.3250,2.2000,0.9000,0.2000
1789192690.7375,0.2000,2.6000,-1.2994,0.3250,2.2000,0.9000,0.2000
1789192690.8188,0.2500,2.6000,-1.2991,0.3250,2.2000,0.9000,0.2000
1789192690.9013,0.3000,2.6000,-1.2987,0.3250,2.2000,0.9000,0.2000
1789192690.9846,0.3500,2.6000,-1.2982,0.3250,2.2000,0.9000,0.2000
1789192691.0680,0.4000,2.6000,-1.2977,0.3250,2.2000,0.9000,0.2000
1789192691.1509,0.4500,2.6000,-1.2970,0.3250,2.2000,0.9000,0.2000
1789192691.2366,0.5000,2.6000,-1.2964,0.3250,2.2000,0.9000,0.2000
1789192691.3193,0.5500,2.6000,-1.2956,0.3250,2.2000,0.9000,0.2000
1789192691.4035,0.6000,2.6000,-1.2948,0.3250,2.2000,0.9000,0.2000
1789192691.4869,0.6500,2.6000,-1.2938,0.3250,2.2000,0.9000,0.2000
1789192691.5702,0.7000,2.6000,-1.2929,0.3250,2.2000,0.9000,0.2000
1789192691.6546,0.7500,2.6000,-1.2918,0.3250,2.2000,0.9000,0.2000
1789192691.7410,0.8000,2.6000,-1.2907,0.3250,2.2000,0.9000,0.2000
1789192691.8285,0.8500,2.6000,-1.2895,0.3250,2.2000,0.9000,0.2000
1789192691.9099,0.9000,2.6000,-1.2882,0.3250,2.2000,0.9000,0.2000
1789192691.9923,0.9500,2.6000,-1.2869,0.3250,2.2000,0.9000,0.2000
1789192692.0804,1.0000,2.6000,-1.2855,0.3250,2.2000,0.9000,0.2000
1789192692.1650,1.0500,2.6000,-1.2840,0.3250,2.2000,0.9000,0.2000
1789192692.2502,1.1000,2.6000,-1.2824,0.3250,2.2000,0.9000,0.2000
1789192692.3353,1.1500,2.6000,-1.2808,0.3250,2.2000,0.9000,0.2000
1789192692.4201,1.2000,2.6000,-1.2791,0.3250,2.2000,0.9000,0.2000
1789192692.5043,1.2500,2.6000,-1.2774,0.3250,2.2000,0.9000,0.2000
1789192692.5883,1.3000,2.6000,-1.2755,0.3250,2.2000,0.9000,0.2000
1789192692.6726,1.3500,2.6000,-1.2736,0.3250,2.2000,0.9000,0.2000
1789192692.7579,1.4000,2.6000,-1.2717,0.3250,2.2000,0.9000,0.2000
1789192692.8427,1.4500,2.6000,-1.2696,0.3250,2.2000,0.9000,0.2000
1789192692.9291,1.5000,2.6000,-1.2675,0.3250,2.2000,0.9000,0.2000
