cmd_vx,cmd_yaw,conf,event,frame_age,fw_ts,px,py,pz,size,size_bucket,t,tracking,x,x_bin,x_soft,yaw
0.0,0.0,0.993740439414978,,0.042370042006950825,15442,4.542044637536463e-13,1.6058760224368918e-12,0.8426656723022461,0.375,1,12.2390797919943,0,0.444444477558136,6,0.4315534234046936,0.0
0.0,0.0,0.9945511221885681,,0.027198625029996037,15492,4.566416147121222e-13,1.6125253259405281e-12,0.8411157131195068,0.375,1,12.28778420801973,0,0.444444477558136,6,0.43159568309783936,0.0
0.2,-26.66666865348816,0.9945709109306335,,0.009312790993135422,15542,4.589231013436834e-13,1.618748212729726e-12,0.8397551774978638,0.375,1,12.335989249986596,1,0.444444477558136,6,0.4330795407295227,0.0
0.0,-26.66666865348816,0.996264636516571,,0.014793042035307735,15592,6.442913900173153e-07,1.0606013844949302e-09,0.8385747671127319,0.625,2,12.409801250032615,1,0.444444477558136,6,0.4315539598464966,0.0
0.2,-26.66666865348816,0.998525083065033,,0.023692500020843,15693,0.0003994521975982934,3.0088702374087006e-07,0.8363510370254517,0.375,1,12.48457429202972,1,0.444444477558136,6,0.4337295591831207,-0.05869155377149582
0.0,-26.66666865348816,0.9925421476364136,,0.004899499996099621,15742,0.0015103399055078626,-2.6473423986317357e-06,0.835292637348175,0.625,2,12.531933707999997,1,0.444444477558136,6,0.4189026653766632,-0.23179222643375397
0.2,-26.66666865348816,0.9952577948570251,,0.007388166966848075,15792,0.003252845024690032,-1.3357059287955053e-05,0.8342680335044861,0.375,1,12.601302958035376,1,0.444444477558136,6,0.41360026597976685,-0.610151469707489
0.2,-26.66666865348816,0.9903531670570374,,0.012596625019796193,15893,0.006418628618121147,-1.1559838640096132e-05,0.8324916362762451,0.375,1,12.673736250028014,1,0.444444477558136,6,0.3824205994606018,-2.002218723297119
0.2,-13.333333432674408,0.9849292635917664,,0.012261666997801512,15943,0.008138575591146946,-1.1178724889759906e-05,0.8316826820373535,0.375,1,12.742317666998133,1,0.2222222238779068,5,0.31007057428359985,-3.0971012115478516
0.0,-13.333333432674408,0.9876794815063477,,0.015030874987132847,15992,0.010088199749588966,-4.1405524825677276e-05,0.8310374021530151,0.625,2,12.811456083029043,1,0.2222222238779068,5,0.24916158616542816,-4.28778076171875
0.2,-13.333333432674408,0.9931538105010986,,0.015977250004652888,16092,0.0159685630351305,-0.00026459875516593456,0.8298173546791077,0.375,1,12.877883500012103,1,0.2222222238779068,5,0.2235916703939438,-6.741809844970703
0.2,-13.333333432674408,0.9870719313621521,,0.021318916988093406,16142,0.019523410126566887,-0.00042032322380691767,0.8292772173881531,0.375,1,12.96268500003498,1,0.2222222238779068,5,0.20213349163532257,-7.641773223876953
0.2,-13.333333432674408,0.9941112399101257,,2.7292000595480204e-05,16193,0.023345937952399254,-0.0006045320769771934,0.8288376927375793,0.375,1,13.006538500019815,1,0.2222222238779068,5,0.20257608592510223,-8.456716537475586
0.2,-13.333333432674408,0.9976609945297241,,0.00389037502463907,16293,0.028308546170592308,-0.0009221096406690776,0.8281394839286804,0.375,1,13.080074542027432,1,0.2222222238779068,5,0.20406770706176758,-9.198637008666992
0.2,-13.333333432674408,0.9922007918357849,,0.01455116696888581,16343,0.03200247883796692,-0.0012896254193037748,0.8278080224990845,0.375,1,13.156007333018351,1,0.2222222238779068,5,0.2190137654542923,-9.46130084991455
0.2,-13.333333432674408,0.9966237545013428,,0.01866800000425428,16442,0.04172257333993912,-0.002388590481132269,0.8271453976631165,0.375,1,13.22663220798131,1,0.2222222238779068,5,0.21459713578224182,-10.118331909179688
0.2,-13.333333432674408,0.993411123752594,,0.02286183403339237,16493,0.047153547406196594,-0.003013049019500613,0.8268635272979736,0.375,1,13.298118042002898,1,0.2222222238779068,5,0.20294244587421417,-10.666070938110352
0.2,-13.333333432674408,0.9935755133628845,,0.00033474998781457543,16543,0.05393313989043236,-0.003898213617503643,0.826624870300293,0.375,1,13.344964749994688,1,0.2222222238779068,5,0.19457174837589264,-11.3278169631958
0.2,-13.333333432674408,0.9749650359153748,,0.009410083992406726,16643,0.06532246619462967,-0.005412936210632324,0.8263086080551147,0.375,1,13.419280375004746,1,0.2222222238779068,5,0.17798921465873718,-12.52283000946045
0.2,-13.333333432674408,0.9919348955154419,,0.015796500025317073,16693,0.07202935218811035,-0.006363031454384327,0.8261814117431641,0.375,1,13.492156458029058,1,0.2222222238779068,5,0.1485164314508438,-13.263459205627441
0.2,-13.333333432674408,0.9821608066558838,,0.019233709026593715,16744,0.07779493182897568,-0.007215469144284725,0.8260898590087891,0.375,1,13.563937208033167,1,0.2222222238779068,5,0.10188695788383484,-13.868986129760742
0.2,0.0,0.9967362284660339,,0.005126291012857109,16792,0.08554161339998245,-0.008507604710757732,0.8259941935539246,0.375,1,13.615628792031202,1,0.0,4,0.0491819903254509,-14.692742347717285
0.2,0.0,0.9913631677627563,,0.011980291979853064,16892,0.09879319369792938,-0.010828958824276924,0.8258256316184998,0.375,1,13.687851375027094,1,0.0,4,0.014417202211916447,-15.8248872756958
0.2,0.0,0.9649681448936462,,0.013279917009640485,16943,0.10635107755661011,-0.01227105688303709,0.8257375955581665,0.375,1,13.758660749997944,1,0.0,4,0.017901238054037094,-16.409908294677734
0.2,0.0,0.9794460535049438,,0.000570415984839201,16992,0.11517592519521713,-0.014101173728704453,0.8256329298019409,0.375,1,13.809957167017274,1,0.0,4,0.01396366860717535,-17.009376525878906
0.2,0.0,0.9906156063079834,,0.008126708038616925,17093,0.1300542950630188,-0.017272286117076874,0.8254453539848328,0.375,1,13.88426108303247,1,0.0,4,0.018250321969389915,-17.587848663330078
0.2,0.0,0.9805591702461243,,0.008511957945302129,17142,0.13812659680843353,-0.01913212053477764,0.8253334760665894,0.375,1,13.952928874990903,1,0.0,4,0.00840098038315773,-17.78600311279297
0.2,0.0,0.9885275363922119,,0.013288000016473234,17242,0.15459378063678741,-0.023146307095885277,0.8250874280929565,0.375,1,14.023054666991811,1,0.0,4,0.009898246265947819,-17.822580337524414
0.2,0.0,0.9912906885147095,,0.015856207988690585,17293,0.16304494440555573,-0.025259505957365036,0.8249543309211731,0.375,1,14.091797667031642,1,0.0,4,0.012782231904566288,-17.8183650970459
0.2,0.0,0.9919182658195496,,0.022479625011328608,17343,0.1722225695848465,-0.027652865275740623,0.8248000741004944,0.375,1,14.164996333012823,1,0.0,4,0.010089932009577751,-17.80027961730957
0.2,0.0,0.9919558763504028,,0.0012742500402964652,17392,0.18018610775470734,-0.029744312167167664,0.8246593475341797,0.375,1,14.210840333020315,1,0.0,4,0.01090958435088396,-17.79973602294922
0.2,0.0,0.9940255880355835,,0.022220165992621332,17492,0.19586949050426483,-0.033869948238134384,0.8243502974510193,0.375,1,14.299739417037927,1,0.0,4,0.018294330686330795,-17.8745174407959
0.2,0.0,0.9950716495513916,,0.001182416977826506,17543,0.20478415489196777,-0.03630727156996727,0.8241485953330994,0.375,1,14.345171542023309,1,0.0,4,0.01525676529854536,-17.961868286132812
0.2,0.0,0.9965794682502747,,0.00532066699815914,17593,0.21334193646907806,-0.03863799571990967,0.8239407539367676,0.375,1,14.416059667011723,1,0.0,4,0.010501584969460964,-18.07179832458496
0.2,0.0,0.9959940910339355,,0.01099720800993964,17693,0.23139463365077972,-0.04367561265826225,0.8234816789627075,0.375,1,14.487062667030841,1,0.0,4,0.007915481925010681,-18.20441246032715
0.2,0.0,0.9951267242431641,,0.018250790948513895,17742,0.23925572633743286,-0.04587825387716293,0.8232718110084534,0.375,1,14.561617625004146,1,0.0,4,0.0052747828885912895,-18.2545166015625
0.0,0.0,0.9934567809104919,,0.00043937499867752194,17792,0.24912600219249725,-0.04872322827577591,0.8229968547821045,0.625,2,14.608913500036579,1,0.0,4,0.009304538369178772,-18.265310287475586
0.2,0.0,0.9680735468864441,,0.0006262079696170986,17894,0.26684433221817017,-0.05383649468421936,0.8224748373031616,0.375,1,14.675484542036429,1,0.0,4,0.011022343300282955,-18.24297332763672
0.2,0.0,0.9935958981513977,,0.0030431670020334423,17943,0.27624908089637756,-0.05661667510867119,0.8221791982650757,0.375,1,14.745632375008427,1,0.0,4,0.006977333687245846,-18.208608627319336
0.2,0.0,0.9769284129142761,,0.008888916985597461,18042,0.2909797728061676,-0.06098854914307594,0.821591317653656,0.375,1,14.819397207989823,1,0.0,4,0.01553415972739458,-18.146228790283203
0.2,0.0,0.9869064092636108,,0.015204166993498802,18092,0.2984750270843506,-0.06316329538822174,0.8212569952011108,0.375,1,14.891780583013315,1,0.0,4,0.025143366307020187,-18.128597259521484
0.0,0.0,0.9943128824234009,,0.019735291018150747,18142,0.3070703148841858,-0.06570671498775482,0.8208659887313843,0.625,2,14.963363167014904,1,0.0,4,0.0018959243316203356,-18.129289627075195
0.0,0.0,0.994716227054596,,0.0007262920262292027,18192,0.3155222237110138,-0.06822294741868973,0.820496141910553,0.625,2,15.010283791983966,1,0.0,4,0.004613092634826899,-18.143993377685547
