cmd_vx,cmd_yaw,conf,event,frame_age,fw_ts,px,py,pz,size,size_bucket,t,tracking,wall,x,x_bin,x_soft,yaw
0.0,0.0,0.9937111139297485,,0.027360666019376367,16643,6.682307701968981e-13,2.638672049956603e-12,0.8446560502052307,0.375,1,13.43372883304255,0,1789088510.9398441,0.444444477558136,6,0.43212634325027466,0.0
0.0,0.0,0.994078516960144,,0.015100292046554387,16693,6.718310261409621e-13,2.6569033431678157e-12,0.8427876234054565,0.375,1,13.485053083044477,0,1789088510.99117,0.444444477558136,6,0.43203771114349365,0.0
0.2,-26.66666865348816,0.9947591423988342,,0.019036750018130988,16792,6.791116063595282e-13,2.6939767690942196e-12,0.8394149541854858,0.375,1,13.55420520802727,1,1789088511.060323,0.444444477558136,6,0.43271559476852417,0.0
0.2,-26.66666865348816,0.9965552091598511,,0.0030583339976146817,16842,9.987517159970594e-07,3.101587875420364e-09,0.8381555080413818,0.375,1,13.604596332996152,1,1789088511.110715,0.444444477558136,6,0.4298132061958313,0.0
0.2,-26.66666865348816,0.9937061667442322,,0.012234458001330495,16894,3.48687099176459e-05,1.813043581933016e-07,0.8367653489112854,0.375,1,13.679939916997682,1,1789088511.1860611,0.444444477558136,6,0.42816686630249023,-0.006990836001932621
0.2,-26.66666865348816,0.9854416847229004,,0.01911608298541978,16993,0.0015960106393322349,-1.6181249975488754e-06,0.8343195915222168,0.375,1,13.753022874996532,1,1789088511.259145,0.444444477558136,6,0.42448440194129944,-0.2583734393119812
0.2,-26.66666865348816,0.9947011470794678,,0.00043245800770819187,17042,0.0041090939193964005,-1.4396898222912569e-05,0.8331491351127625,0.375,1,13.800987958034966,1,1789088511.307111,0.444444477558136,6,0.41884052753448486,-0.6708196997642517
0.0,-26.66666865348816,0.9760252237319946,,0.0007223749998956919,17092,0.006534187123179436,-2.9867807825212367e-05,0.8322850465774536,0.625,2,13.868031083024107,1,1789088511.374156,0.444444477558136,6,0.38185760378837585,-1.1821956634521484
0.2,-26.66666865348816,0.9988136291503906,,0.006105625012423843,17144,0.011244011111557484,-5.0742975872708485e-05,0.831187903881073,0.375,1,13.940552667016163,1,1789088511.446679,0.444444477558136,6,0.3564993441104889,-2.2568366527557373
0.2,-13.333333432674408,0.9808313250541687,,0.007361042022239417,17243,0.018183674663305283,-0.00010270897473674268,0.8297783136367798,0.375,1,14.008176167029887,1,1789088511.514304,0.2222222238779068,5,0.24542739987373352,-4.418710708618164
0.2,-13.333333432674408,0.9974199533462524,,0.008568542019929737,17293,0.022066816687583923,-0.00014235837443266064,0.8291338682174683,0.375,1,14.077174417034257,1,1789088511.583304,0.2222222238779068,5,0.2490067481994629,-5.7844672203063965
0.2,-13.333333432674408,0.9705883860588074,,0.01108695799484849,17393,0.028398390859365463,-0.00034934698487631977,0.8280752897262573,0.375,1,14.147640917042736,1,1789088511.653771,0.2222222238779068,5,0.1806482970714569,-8.063572883605957
0.2,-13.333333432674408,0.9963032007217407,,0.01586799998767674,17443,0.03250610828399658,-0.0006598893087357283,0.8275567889213562,0.375,1,14.219055749999825,1,1789088511.725188,0.2222222238779068,5,0.21047832071781158,-8.878721237182617
0.2,-13.333333432674408,0.992595374584198,,0.01727645902428776,17493,0.03669632971286774,-0.0009962690528482199,0.8271277546882629,0.375,1,14.28715300001204,1,1789088511.7932868,0.2222222238779068,5,0.21549703180789948,-9.440956115722656
0.2,-13.333333432674408,0.9914445281028748,,0.024158791988156736,17592,0.04666217043995857,-0.0018860361305996776,0.8263736963272095,0.375,1,14.359338208043482,1,1789088511.865473,0.2222222238779068,5,0.19989269971847534,-10.263503074645996
0.2,-13.333333432674408,0.9978600144386292,,0.006061624968424439,17643,0.052372872829437256,-0.0025057606399059296,0.8260651230812073,0.375,1,14.407335166994017,1,1789088511.913471,0.2222222238779068,5,0.2084147334098816,-10.623005867004395
0.2,-13.333333432674408,0.9969935417175293,,0.011870625021401793,17693,0.05902174487709999,-0.0033273729495704174,0.8258154988288879,0.375,1,14.481201125017833,1,1789088511.987339,0.2222222238779068,5,0.20426206290721893,-11.089393615722656
0.2,-13.333333432674408,0.9849366545677185,,0.019533417013008147,17792,0.07118602842092514,-0.004916022531688213,0.8255149722099304,0.375,1,14.557091958005913,1,1789088512.063231,0.2222222238779068,5,0.18649570643901825,-12.096231460571289
0.2,-13.333333432674408,0.9909597635269165,,0.0032861660001799464,17843,0.07740860432386398,-0.0057726469822227955,0.8254031538963318,0.375,1,14.608658375043888,1,1789088512.114799,0.2222222238779068,5,0.16421933472156525,-12.676630973815918
0.2,-13.333333432674408,0.9888516068458557,,0.009840333019383252,17892,0.08266222476959229,-0.006529890466481447,0.8253235816955566,0.375,1,14.680826292023994,1,1789088512.186969,0.2222222238779068,5,0.12667500972747803,-13.215797424316406
0.2,0.0,0.982070803642273,,0.013765291951131076,17992,0.09810291230678558,-0.009060665965080261,0.8251829147338867,0.375,1,14.751010375039186,1,1789088512.257154,0.0,4,0.07500031590461731,-14.846818923950195
0.2,0.0,0.9957078695297241,,0.022404707968235016,18042,0.1042114645242691,-0.010082529857754707,0.8251210451126099,0.375,1,14.826024042034987,1,1789088512.332169,0.0,4,0.05379351228475571,-15.34022045135498
