applied_lat_ms,applied_t,cmd_vx,cmd_yaw,conf,event,frame_age,frame_count,fw_ts,pitch,px,py,pz,roll,size,size_bucket,streak,t,t_proc,torn_frames,tracking,wall,x,x_bin,x_soft,yaw
154.07449996564537,11.184759708005004,0.0,0.0,0.9958309531211853,,0.028741749993059784,168,14200,0.0,8.194236847218483e-13,8.410097976103287e-14,0.8436899781227112,0.0,0.375,1,1,11.063574250030797,11.059426958032418,0,0,1789187638.5872052,-0.444444477558136,2,-0.47045978903770447,0.0
154.94108403800055,11.317710750037804,0.0,0.0,0.9970937967300415,,0.05243841698393226,170,14350,0.0,8.296428865087191e-13,8.692443872982888e-14,0.8386967182159424,0.0,0.375,1,2,11.216429624997545,11.215208082983736,0,0,1789187638.7400582,-0.444444477558136,2,-0.46620073914527893,0.0
153.02366600371897,11.516376166022383,0.2,26.66666865348816,0.9971879124641418,,0.006271707999985665,173,14499,0.0,8.391527490242412e-13,8.964230995955197e-14,0.8350591063499451,0.0,0.375,1,3,11.370764416002203,11.36962420801865,0,1,1789187638.894392,-0.444444477558136,2,-0.4704722762107849,0.0
153.93687499454245,11.650768249994144,0.2,26.66666865348816,0.9975441098213196,,0.028422333009075373,175,14649,0.0,8.502035880875169e-13,9.290347489790754e-14,0.8320385813713074,0.0,0.375,1,4,11.526477791019715,11.525253708008677,0,1,1789187639.050105,-0.444444477558136,2,-0.4579267203807831,0.0
154.40841700183228,11.78444000001764,0.2,26.66666865348816,0.9991344809532166,,0.049401416967157274,177,14800,-3.4719040393829346,0.0005484423018060625,-5.378361720431712e-07,0.8299416303634644,-0.004179477225989103,0.375,1,5,11.680562041001394,11.679432999982964,0,1,1789187639.2041888,-0.444444477558136,2,-0.4524722397327423,0.10263041406869888
154.54579197103158,11.982410249998793,0.0,26.66666865348816,0.9975665807723999,,0.005658332956954837,180,14949,-3.081756353378296,0.007256936747580767,3.2894735340960324e-05,0.8283050060272217,0.09282035380601883,0.625,2,6,11.834748166031204,11.833522790984716,0,1,1789187639.3583748,-0.444444477558136,2,-0.4300980269908905,1.3834236860275269
155.50087502924725,12.118097875034437,0.0,26.66666865348816,0.9898620843887329,,0.025927375012543052,182,15100,-2.6096668243408203,0.020415011793375015,0.00015326295397244394,0.8270444273948669,0.08610931783914566,0.625,2,7,11.990015249990392,11.988524375017732,0,1,1789187639.513642,-0.444444477558136,2,-0.39062076807022095,4.899993419647217
153.99962494848296,12.24987170798704,0.0,13.333333432674408,0.9977684020996094,,0.04725179198430851,184,15249,0.9405632019042969,0.03326762467622757,0.0005635530687868595,0.8263905048370361,-0.12667898833751678,0.625,2,8,12.14425679098349,12.143123875022866,0,1,1789187639.667884,-0.2222222238779068,3,-0.2916928827762604,8.406383514404297
153.12354103662074,12.446501166035887,0.0,13.333333432674408,0.994745135307312,,0.0038867080002091825,187,15399,1.3946001529693604,0.04323681816458702,0.0009882102021947503,0.8259797096252441,-0.38058143854141235,0.625,2,9,12.29852250003023,12.297264332999475,0,1,1789187639.822149,-0.2222222238779068,3,-0.2284068912267685,10.994608879089355
153.16916699521244,12.582501750031952,0.2,13.333333432674408,0.9986749291419983,,0.02294029196491465,189,15550,1.3487904071807861,0.050458747893571854,0.0015886195469647646,0.8255085945129395,-0.25825080275535583,0.375,1,10,12.453477083006874,12.452272875001654,0,1,1789187639.977103,-0.2222222238779068,3,-0.21135888993740082,13.64136028289795
157.62170898960903,12.72009837499354,0.0,13.333333432674408,0.9922158122062683,,0.04401225002948195,191,15700,0.8335804343223572,0.056663040071725845,0.0021604616194963455,0.8249702453613281,-0.1373182088136673,0.625,2,11,12.608102333033457,12.606488916033413,0,1,1789187640.131728,-0.2222222238779068,3,-0.11510317027568817,16.109216690063477
155.49337503034621,12.917917416023556,0.0,0.0,0.991205632686615,,0.002166624995879829,194,15849,-2.530592441558838,0.06236253306269646,0.002792161889374256,0.8243950009346008,-0.12097971886396408,0.625,2,12,12.766201916034333,12.76459066598909,0,1,1789187640.289828,0.0,4,-0.025409311056137085,17.731800079345703
154.12949997698888,13.050066875002813,0.0,0.0,0.9962589740753174,,0.02325541595928371,196,15999,1.1698052883148193,0.07173927873373032,0.004905748181045055,0.8236365914344788,-0.03648393228650093,0.625,2,13,12.920309416018426,12.919192790985107,0,1,1789187640.443934,0.0,4,-0.019845468923449516,19.188196182250977
153.43058400321752,13.182471500011161,0.2,0.0,0.9946855306625366,,0.04450966703006998,198,16149,0.46149858832359314,0.07756852358579636,0.006416868418455124,0.8228692412376404,-0.18918335437774658,0.375,1,14,13.074861625034828,13.073550583038013,0,1,1789187640.5984871,0.0,4,-0.020100731402635574,20.927785873413086
153.16958300536498,13.31553108303342,0.0,0.0,0.994934618473053,,0.06516649998957291,200,16299,0.5392112731933594,0.08143041282892227,0.007756516337394714,0.8220533132553101,-0.16610459983348846,0.625,2,15,13.22908025002107,13.227528000017628,0,1,1789187640.752705,0.0,4,0.05876433104276657,22.619047164916992
156.3282500137575,13.518836041039322,0.0,-13.333333432674408,0.9911780953407288,,0.01900033396668732,203,16449,-2.960824728012085,0.08503797650337219,0.00917232595384121,0.8212978839874268,-0.009277387522161007,0.625,2,16,13.38261633302318,13.381508124992251,0,1,1789187640.906241,0.2222222238779068,5,0.12749166786670685,23.041439056396484
154.07616697484627,13.647378708003089,0.0,-13.333333432674408,0.9922566413879395,,0.04356395895592868,205,16599,1.2205744981765747,0.09365237504243851,0.012550704181194305,0.8204365372657776,0.0041900393553078175,0.625,2,17,13.538452374981716,13.536866499984171,0,1,1789187641.062077,0.2222222238779068,5,0.17577369511127472,22.94993019104004
154.10679095657542,13.781239165982697,0.0,-13.333333432674408,0.9877185821533203,,0.06405637500574812,207,16749,1.108850121498108,0.0996604934334755,0.015137845650315285,0.819640040397644,-0.026270359754562378,0.625,2,18,13.692462874983903,13.69118875003187,0,1,1789187641.216087,0.2222222238779068,5,0.18319927155971527,22.983455657958984
153.5642080125399,13.983735916030128,0.0,-13.333333432674408,0.9620680212974548,,0.019542207999620587,210,16950,0.46148112416267395,0.10294602066278458,0.01680012047290802,0.8188467621803284,0.034028831869363785,0.625,2,19,13.85119862499414,13.849713916017208,0,1,1789187641.374822,0.2222222238779068,5,0.17790356278419495,22.454856872558594
153.42337498441339,14.116520999989007,0.0,-13.333333432674408,0.9965987801551819,,0.04542329098330811,212,17100,0.17183464765548706,0.1052684634923935,0.017959963530302048,0.8182960152626038,0.04290015622973442,0.625,2,20,14.009738708031364,14.008520915987901,0,1,1789187641.533362,0.2222222238779068,5,0.15229132771492004,20.736896514892578
154.61404103552923,14.250675916031469,0.0,-13.333333432674408,0.9900434017181396,,0.06641333299921826,214,17249,0.3316010534763336,0.10742224752902985,0.019078105688095093,0.8177829384803772,0.03757539391517639,0.625,2,21,14.164121291018091,14.162475207995158,0,1,1789187641.687747,0.2222222238779068,5,0.10336744785308838,18.616565704345703
155.98304104059935,14.452497541031335,0.0,0.0,0.9886177182197571,,0.023972249997314066,217,17400,0.20932908356189728,0.10891034454107285,0.01997523568570614,0.8172883987426758,0.04563809931278229,0.625,2,22,14.322076541022398,14.32048674998805,0,1,1789187641.845699,0.0,4,0.08995204418897629,17.166728973388672
156.30462497938424,14.58674883301137,0.0,0.0,0.9924531579017639,,0.04434170795138925,219,17550,0.1168232187628746,0.10987996309995651,0.020680584013462067,0.816814124584198,0.04541819542646408,0.625,2,23,14.47589041601168,14.474785915983375,0,1,1789187641.9995131,0.0,4,0.07478392124176025,15.902527809143066
154.531791980844,14.71797024999978,0.0,0.0,0.9996026158332825,,0.06638266699155793,221,17699,0.12524987757205963,0.1105734184384346,0.021299734711647034,0.816298246383667,0.04813331738114357,0.625,2,24,14.631062583008315,14.629821125010494,0,1,1789187642.154685,0.0,4,0.031421128660440445,14.207176208496094
156.35279100388288,14.92051641602302,0.0,0.0,0.9997765421867371,,0.02400887501426041,224,17849,0.0744049996137619,0.11103350669145584,0.021819308400154114,0.8157984614372253,0.04386115074157715,0.625,2,25,14.789407790987752,14.788172500033397,0,1,1789187642.31303,0.0,4,0.05071884021162987,13.14757251739502
155.18545801751316,15.051856708014384,0.0,0.0,0.9978238344192505,,0.048868499987293035,226,18000,0.038557399064302444,0.11138416081666946,0.02233855053782463,0.8152725100517273,0.043486375361680984,0.625,2,26,14.947036915982608,14.945539749984164,0,1,1789187642.470659,0.0,4,0.07560385018587112,13.183431625366211
154.96387501480058,15.253357833018526,0.0,-13.333333432674408,0.9974564909934998,,0.0018603330245241523,229,18149,0.03982213884592056,0.11161817610263824,0.02281545288860798,0.8147484064102173,0.041991833597421646,0.625,2,27,15.101519333024044,15.10025429102825,0,1,1789187642.625141,0.2222222238779068,5,0.15281428396701813,13.586175918579102
155.84970795316622,15.388333290989976,0.0,-13.333333432674408,0.9984297156333923,,0.022144499991554767,231,18299,0.0225925724953413,0.11175839602947235,0.023267006501555443,0.8142445087432861,0.04162175580859184,0.625,2,28,15.255964000010863,15.254628083028365,0,1,1789187642.7795851,0.2222222238779068,5,0.16350819170475006,13.428057670593262
156.04779100976884,15.523212291009258,0.0,-13.333333432674408,0.9994069337844849,,0.045335832983255386,233,18500,0.009138364344835281,0.11185794323682785,0.02384749799966812,0.8135953545570374,0.042149558663368225,0.625,2,29,15.414059791015461,15.412500332982745,0,1,1789187642.937682,0.2222222238779068,5,0.18201231956481934,12.88739013671875
153.98233296582475,15.717999165994115,0.0,-13.333333432674408,0.9912517666816711,,0.0034822080051526427,236,18649,0.008722583763301373,0.11190111935138702,0.024313906207680702,0.8130907416343689,0.04531916603446007,0.625,2,30,15.568578583013732,15.567499041033443,0,1,1789187643.0921988,0.2222222238779068,5,0.18281127512454987,12.28352165222168
155.883708037436,15.85200066602556,0.0,-13.333333432674408,0.9977643489837646,,0.025720292003825307,238,18799,0.0011419449001550674,0.11192262917757034,0.024785494431853294,0.8125659227371216,0.04728584736585617,0.625,2,31,15.723178040992934,15.72183724999195,0,1,1789187643.246798,0.2222222238779068,5,0.1674162745475769,10.743133544921875
155.23241698974743,15.984787208028138,0.0,-13.333333432674408,0.9980813264846802,,0.046834749984554946,240,18950,0.0009111667750403285,0.11193472892045975,0.02521972544491291,0.8120649456977844,0.038956109434366226,0.625,2,32,15.877697916002944,15.876389541022945,0,1,1789187643.4013178,0.2222222238779068,5,0.119838647544384,9.119894027709961
157.7699159970507,16.187394666019827,0.0,0.0,0.9955779314041138,,0.0015028329798951745,243,19101,-0.00032289803493767977,0.11194255203008652,0.025656530633568764,0.8115714192390442,0.03876600041985512,0.625,2,33,16.032370541011915,16.03112758300267,0,1,1789187643.555991,0.0,4,0.09803007543087006,7.645773887634277
155.04400001373142,16.317937583022285,0.0,0.0,0.9990087747573853,,0.024501083011273295,245,19250,-0.0039991773664951324,0.11195479333400726,0.02602817863225937,0.811120867729187,0.038920145481824875,0.625,2,34,16.18874783301726,16.187394666019827,0,1,1789187643.712367,0.0,4,0.07352109253406525,6.335195064544678
