# bodies: subj_person_target
1789192433.4926,0.0500,3.5000,-1.5999,0.8500
1789192433.6504,0.1000,3.5000,-1.5995,0.8500
1789192433.7331,0.1500,3.5000,-1.5988,0.8500
1789192433.8104,0.2000,3.5000,-1.5978,0.8500
1789192433.8853,0.2500,3.5000,-1.5966,0.8500
1789192433.9655,0.3000,3.5000,-1.5951,0.8500
1789192434.0479,0.3500,3.5000,-1.5933,0.8500
1789192434.1300,0.4000,3.5000,-1.5912,0.8500
1789192434.2153,0.4500,3.5000,-1.5889,0.8500
1789192434.3026,0.5000,3.5000,-1.5863,0.8500
1789192434.3841,0.5500,3.5000,-1.5834,0.8500
1789192434.4676,0.6000,3.5000,-1.5803,0.8500
1789192434.5528,0.6500,3.5000,-1.5769,0.8500
1789192434.6363,0.7000,3.5000,-1.5732,0.8500
1789192434.7224,0.7500,3.5000,-1.5693,0.8500
1789192434.8094,0.8000,3.5000,-1.5650,0.8500
1789192434.8940,0.8500,3.5000,-1.5605,0.8500
1789192434.9786,0.9000,3.5000,-1.5558,0.8500
1789192435.0625,0.9500,3.5000,-1.5508,0.8500
1789192435.1460,1.0000,3.5000,-1.5455,0.8500
1789192435.2304,1.0500,3.5000,-1.5399,0.8500
1789192435.3177,1.1000,3.5000,-1.5341,0.8500
1789192435.4031,1.1500,3.5000,-1.5280,0.8500
1789192435.4872,1.2000,3.5000,-1.5217,0.8500
1789192435.5709,1.2500,3.5000,-1.5151,0.8500
1789192435.6556,1.3000,3.5000,-1.5082,0.8500
1789192435.7400,1.3500,3.5000,-1.5011,0.8500
1789192435.8255,1.4000,3.5000,-1.4937,0.8500
1789192435.9096,1.4500,3.5000,-1.4861,0.8500
1789192435.9947,1.5000,3.5000,-1.4782,0.8500
1789192436.0797,1.5500,3.5000,-1.4701,0.8500
1789192436.1656,1.6000,3.5000,-1.4617,0.8500
1789192436.2476,1.6500,3.5000,-1.4530,0.8500
1789192436.3393,1.7000,3.5000,-1.4441,0.8500
1789192436.4596,1.7500,3.5000,-1.4350,0.8500
1789192436.5705,1.8000,3.5000,-1.4256,0.8500
1789192436.6636,1.8500,3.5000,-1.4160,0.8500
1789192436.7537,1.9000,3.5000,-1.4061,0.8500
1789192436.8322,1.9500,3.5000,-1.3960,0.8500
1789192436.9120,2.0000,3.5000,-1.3856,0.8500
1789192436.9920,2.0500,3.5000,-1.3751,0.8500
1789192437.0735,2.1000,3.5000,-1.3642,0.8500
1789192437.1555,2.1500,3.5000,-1.3532,0.8500
1789192437.2389,2.2000,3.5000,-1.3419,0.8500
1789192437.3239,2.2500,3.5000,-1.3304,0.8500
1789192437.4088,2.3000,3.5000,-1.3186,0.8500
1789192437.4933,2.3500,3.5000,-1.3066,0.8500
1789192437.5764,2.4000,3.5000,-1.2944,0.8500
1789192437.6519,2.4500,3.5000,-1.2820,0.8500
1789192437.7273,2.5000,3.5000,-1.2694,0.8500
1789192437.8156,2.5500,3.5000,-1.2565,0.8500
1789192437.8984,2.6000,3.5000,-1.2434,0.8500
1789192437.9820,2.6500,3.5000,-1.2302,0.8500
1789192438.0639,2.7000,3.5000,-1.2167,0.8500
1789192438.1434,2.7500,3.5000,-1.2030,0.8500
1789192438.2209,2.8000,3.5000,-1.1890,0.8500
1789192438.3010,2.8500,3.5000,-1.1749,0.8500
1789192438.3796,2.9000,3.5000,-1.1606,0.8500
1789192438.4573,2.9500,3.5000,-1.1461,0.8500
1789192438.5382,3.0000,3.5000,-1.1314,0.8500
1789192438.6237,3.0500,3.5000,-1.1165,0.8500
1789192438.7082,3.1000,3.5000,-1.1014,0.8500
1789192438.7931,3.1500,3.5000,-1.0861,0.8500
1789192438.8788,3.2000,3.5000,-1.0706,0.8500
1789192438.9626,3.2500,3.5000,-1.0550,0.8500
1789192439.0466,3.3000,3.5000,-1.0391,0.8500
1789192439.1309,3.3500,3.5000,-1.0231,0.8500
1789192439.2172,3.4000,3.5000,-1.0069,0.8500
1789192439.3035,3.4500,3.5000,-0.9906,0.8500
1789192439.3883,3.5000,3.5000,-0.9741,0.8500
1789192439.4772,3.5500,3.5000,-0.9574,0.8500
1789192439.5622,3.6000,3.5000,-0.9405,0.8500
1789192439.6461,3.6500,3.5000,-0.9235,0.8500
1789192439.7304,3.7000,3.5000,-0.9063,0.8500
1789192439.8127,3.7500,3.5000,-0.8890,0.8500
1789192439.8940,3.8000,3.5000,-0.8715,0.8500
1789192439.9772,3.8500,3.5000,-0.8538,0.8500
1789192440.0595,3.9000,3.5000,-0.8361,0.8500
1789192440.1435,3.9500,3.5000,-0.8181,0.8500
1789192440.2254,4.0000,3.5000,-0.8001,0.8500
1789192440.3078,4.0500,3.5000,-0.7819,0.8500
1789192440.3925,4.1000,3.5000,-0.7635,0.8500
1789192440.4821,4.1500,3.5000,-0.7451,0.8500
1789192440.5676,4.2000,3.5000,-0.7265,0.8500
1789192440.6528,4.2500,3.5000,-0.7078,0.8500
1789192440.7387,4.3000,3.5000,-0.6889,0.8500
1789192440.8244,4.3500,3.5000,-0.6700,0.8500
1789192440.9097,4.4000,3.5000,-0.6509,0.8500
1789192440.9946,4.4500,3.5000,-0.6317,0.8500
1789192441.0803,4.5000,3.5000,-0.6124,0.8500
1789192441.1650,4.5500,3.5000,-0.5930,0.8500
1789192441.2502,4.6000,3.5000,-0.5735,0.8500
1789192441.3350,4.6500,3.5000,-0.5539,0.8500
1789192441.4213,4.7000,3.5000,-0.5342,0.8500
1789192441.5066,4.7500,3.5000,-0.5144,0.8500
1789192441.5904,4.8000,3.5000,-0.4946,0.8500
1789192441.6755,4.8500,3.5000,-0.4746,0.8500
1789192441.7616,4.9000,3.5000,-0.4546,0.8500
1789192441.8470,4.9500,3.5000,-0.4345,0.8500
1789192441.9330,5.0000,3.5000,-0.4143,0.8500
1789192442.0298,5.0500,3.5000,-0.3940,0.8500
1789192442.1137,5.1000,3.5000,-0.3737,0.8500
1789192442.1968,5.1500,3.5000,-0.3533,0.8500
1789192442.2786,5.2000,3.5000,-0.3328,0.8500
1789192442.3618,5.2500,3.5000,-0.3123,0.8500
1789192442.4480,5.3000,3.5000,-0.2918,0.8500
1789192442.5317,5.3500,3.5000,-0.2712,0.8500
1789192442.6166,5.4000,3.5000,-0.2505,0.8500
1789192442.7038,5.4500,3.5000,-0.2298,0.8500
1789192442.7873,5.5000,3.5000,-0.2091,0.8500
1789192442.8719,5.5500,3.5000,-0.1883,0.8500
1789192442.9570,5.6000,3.5000,-0.1675,0.8500
1789192443.0406,5.6500,3.5000,-0.1467,0.8500
