applied_lat_ms,applied_t,cmd_vx,cmd_yaw,conf,event,frame_age,frame_count,fw_ts,infer_ms,pitch,px,py,pz,roll,round_trip_ms,size,size_bucket,streak,t,t_proc,torn_frames,tracking,vis_gate,wall,x,x_bin,x_soft,yaw
155.64612502930686,13.93341804202646,0.0,0.0,0.8437557946841783,,0.04374104202724993,165,16893,1.7379160271957517,0.0,3.508952839664098e-13,1.24592382851757e-12,0.8646340370178223,0.0,2.876457991078496,0.375,1,1,13.826380625017919,13.821512959024403,0,0,1,1789192089.980584,0.4444444444444444,6,0.3901885419966873,0.0
153.47604104317725,14.092583375051618,0.0,0.0,0.8749561350669987,,0.04029712500050664,167,17096,0.72975002694875,0.0,3.602803548118788e-13,1.27178280927287e-12,0.8513227105140686,0.0,0.8814169559627771,0.375,1,2,13.980730542039964,13.979404459008947,0,0,1,1789192090.134934,0.4444444444444444,6,0.3834046392490221,0.0
154.9137500114739,14.259618959040381,0.2,-26.666666666666664,0.878989100305699,,0.03283404099056497,169,17242,0.9629999985918403,0.0,3.6750024681383997e-13,1.291552260106188e-12,0.8420435190200806,0.0,1.1669580126181245,0.375,1,3,14.139147750043776,14.137539250019472,0,1,1,1789192090.293355,0.4444444444444444,6,0.3775238640088675,0.0
159.12991599179804,14.429382500005886,0.2,-26.666666666666664,0.860360493324477,,0.025001625006552786,171,17395,1.0038340114988387,0.0,3.754849621333267e-13,1.3133001630638574e-12,0.8333696722984314,0.0,1.19704200187698,0.375,1,4,14.296975709032267,14.29525420902064,0,1,1,1789192090.451184,0.4444444444444444,6,0.3770078915720987,0.0
155.35112499492243,14.593097125005443,0.2,-26.666666666666664,0.8926743314349862,,0.021223000017926097,173,17547,1.0988749563694,-3.688275098800659,0.00045365607365965843,3.154498529056582e-07,0.8262151479721069,0.0028437140863388777,1.3010419788770378,0.375,1,5,14.460784334049094,14.458969000028446,0,1,1,1789192090.614996,0.4444444444444444,6,0.39702790139869726,-0.06528425961732864
155.67591600120068,14.762647625000682,0.0,-26.666666666666664,0.8300457776318397,,0.011997500027064234,175,17692,1.0359999723732471,-2.623051166534424,0.00602658512070775,-2.6895540941040963e-05,0.8204625844955444,-0.04564005509018898,1.2420829734764993,0.625,2,6,14.620728834008332,14.618969209026545,0,1,1,1789192090.7749429,0.4444444444444444,6,0.37328735895282206,-0.8295599222183228
154.26983399083838,14.930830334022176,0.2,-26.666666666666664,0.9379568892902377,,0.0013477500178851187,177,17893,1.1491250479593873,-3.228609800338745,0.014865970239043236,-8.679768507136032e-05,0.8151092529296875,-0.024874677881598473,1.3700000126846135,0.375,1,7,14.77975000004517,14.777908250049222,0,1,1,1789192090.9339662,0.4444444444444444,6,0.31159627277283014,-3.8005945682525635
158.56483299285173,15.019317542028148,0.0,-13.33333333333334,0.9416841898879103,,0.0716215000138618,178,18046,1.2259999639354646,1.6025713682174683,0.024606868624687195,-0.00040667172288522124,0.8124775886535645,0.1013837605714798,1.4565419987775385,0.625,2,8,14.934463542012963,14.932374209049158,0,1,1,1789192091.088683,0.22222222222222232,5,0.2753699900738487,-6.707162380218506
158.03412499371916,15.18791370902909,0.2,-13.33333333333334,0.9341441872172132,,0.0575354159809649,180,18199,1.297874958254397,-1.8953934907913208,0.029919173568487167,-0.0005796351470053196,0.8113827705383301,0.20787735283374786,1.6556659829802811,0.375,1,9,15.090149584051687,15.087415000016335,0,1,1,1789192091.24437,0.22222222222222232,5,0.20497938546617925,-8.770039558410645
155.92400002060458,15.35419995902339,0.2,-13.33333333333334,0.8982238732567779,,0.043615125003270805,182,18345,1.2439159909263253,2.399829149246216,0.03988275304436684,-0.0013366031926125288,0.8109924793243408,0.02899462915956974,1.442416978534311,0.375,1,10,15.243957541999407,15.241891084006056,0,1,1,1789192091.39818,0.22222222222222232,5,0.22451010224180082,-10.544281959533691
