1789099561.5800,0.0500,3.0000,-1.1999
1789099561.7140,0.1000,3.0000,-1.1994
1789099561.7984,0.1500,3.0000,-1.1987
1789099561.8700,0.2000,3.0000,-1.1976
1789099561.9386,0.2500,3.0000,-1.1963
1789099562.0056,0.3000,3.0000,-1.1947
1789099562.0721,0.3500,3.0000,-1.1928
1789099562.1383,0.4000,3.0000,-1.1905
1789099562.2060,0.4500,3.0000,-1.1880
1789099562.2726,0.5000,3.0000,-1.1852
1789099562.3386,0.5500,3.0000,-1.1821
1789099562.4051,0.6000,3.0000,-1.1787
1789099562.4722,0.6500,3.0000,-1.1751
1789099562.5385,0.7000,3.0000,-1.1711
1789099562.6055,0.7500,3.0000,-1.1668
1789099562.6726,0.8000,3.0000,-1.1623
1789099562.7390,0.8500,3.0000,-1.1575
1789099562.8063,0.9000,3.0000,-1.1524
1789099562.8732,0.9500,3.0000,-1.1469
1789099562.9445,1.0000,3.0000,-1.1413
1789099563.0105,1.0500,3.0000,-1.1353
1789099563.0925,1.1000,3.0000,-1.1291
1789099563.1585,1.1500,3.0000,-1.1225
1789099563.2255,1.2000,3.0000,-1.1157
1789099563.2920,1.2500,3.0000,-1.1087
1789099563.3589,1.3000,3.0000,-1.1013
1789099563.4311,1.3500,3.0000,-1.0937
1789099563.5007,1.4000,3.0000,-1.0858
1789099563.5675,1.4500,3.0000,-1.0776
1789099563.6353,1.5000,3.0000,-1.0692
1789099563.7122,1.5500,3.0000,-1.0605
1789099563.7812,1.6000,3.0000,-1.0516
1789099563.8467,1.6500,3.0000,-1.0424
1789099563.9124,1.7000,3.0000,-1.0329
1789099563.9807,1.7500,3.0000,-1.0232
1789099564.0467,1.8000,3.0000,-1.0132
1789099564.1377,1.8500,3.0000,-1.0030
1789099564.2087,1.9000,3.0000,-0.9925
1789099564.3311,1.9500,3.0000,-0.9818
1789099564.4009,2.0000,3.0000,-0.9708
1789099564.4664,2.0500,3.0000,-0.9596
1789099564.5324,2.1000,3.0000,-0.9482
1789099564.5987,2.1500,3.0000,-0.9365
1789099564.6655,2.2000,3.0000,-0.9246
1789099564.7318,2.2500,3.0000,-0.9125
1789099564.7977,2.3000,3.0000,-0.9001
1789099564.8649,2.3500,3.0000,-0.8876
1789099564.9306,2.4000,3.0000,-0.8748
1789099564.9968,2.4500,3.0000,-0.8618
1789099565.0633,2.5000,3.0000,-0.8485
1789099565.1303,2.5500,3.0000,-0.8351
1789099565.1967,2.6000,3.0000,-0.8215
1789099565.2645,2.6500,3.0000,-0.8076
1789099565.3305,2.7000,3.0000,-0.7936
1789099565.3965,2.7500,3.0000,-0.7793
1789099565.4634,2.8000,3.0000,-0.7649
1789099565.5306,2.8500,3.0000,-0.7503
1789099565.5975,2.9000,3.0000,-0.7355
1789099565.6648,2.9500,3.0000,-0.7205
1789099565.7321,3.0000,3.0000,-0.7054
1789099565.7994,3.0500,3.0000,-0.6900
1789099565.8700,3.1000,3.0000,-0.6745
1789099565.9378,3.1500,3.0000,-0.6588
1789099566.0048,3.2000,3.0000,-0.6430
1789099566.0723,3.2500,3.0000,-0.6270
1789099566.1411,3.3000,3.0000,-0.6109
1789099566.2075,3.3500,3.0000,-0.5946
1789099566.2740,3.4000,3.0000,-0.5781
1789099566.3420,3.4500,3.0000,-0.5615
1789099566.4079,3.5000,3.0000,-0.5448
