applied_lat_ms,applied_t,cmd_vx,cmd_yaw,conf,event,frame_age,frame_count,fw_ts,pitch,px,py,pz,roll,size,size_bucket,t,t_proc,torn_frames,tracking,wall,x,x_bin,x_soft,yaw
153.8295409991406,12.696433750039432,0.0,0.0,0.9619152545928955,,0.04681358300149441,196,16026,0.0,1.889040573271883e-12,1.4954789522621942e-13,0.8433349132537842,0.0,0.375,1,12.610480375005864,12.589417792041786,0,0,1789099577.453409,-0.444444477558136,2,-0.4294876158237457,0.0
154.37212499091402,12.835201292007696,0.0,0.0,0.9812775254249573,,0.06544550001854077,198,16176,0.0,1.9589919963980407e-12,1.5540433523364428e-13,0.8387833833694458,0.0,0.375,1,12.747792209032923,12.746274667035323,0,0,1789099577.5907168,-0.444444477558136,2,-0.43243008852005005,0.0
155.434750020504,13.038530334015377,0.2,26.66666865348816,0.9705975651741028,,0.017193166015204042,201,16326,0.0,2.030329029900635e-12,1.6139770997545405e-13,0.8350858688354492,0.0,0.375,1,12.901569625013508,12.900288750010077,0,1,1789099577.744493,-0.444444477558136,2,-0.41806554794311523,0.0
157.6871249708347,13.176897249999456,0.2,26.66666865348816,0.9922323226928711,,0.03675870900042355,203,16477,0.0,2.1053213426075468e-12,1.6772047888979208e-13,0.8321901559829712,0.0,0.375,1,13.057100084028207,13.055968834029045,0,1,1789099577.900022,-0.444444477558136,2,-0.4223492443561554,0.0
153.5470419912599,13.307521167036612,0.0,26.66666865348816,0.9996585845947266,,0.05718133394839242,205,16628,-2.531942844390869,0.00023926413268782198,-4.6528026587111526e-07,0.8300197720527649,0.0009224339155480266,0.625,2,13.212647334032226,13.211155458993744,0,1,1789099578.055568,-0.444444477558136,2,-0.42891794443130493,0.04492670297622681
153.9299160358496,13.515848875045776,0.0,26.66666865348816,0.9984184503555298,,0.005805666034575552,208,16829,-2.9877023696899414,0.008500815369188786,4.097487180843018e-05,0.8278024196624756,0.10238578170537949,0.625,2,13.369169209036045,13.367724625044502,0,1,1789099578.212089,-0.444444477558136,2,-0.3747909665107727,1.6415492296218872
154.9982920405455,13.648454792040866,0.2,13.333333432674408,0.9996819496154785,,0.02936237503308803,210,16978,1.6607505083084106,0.018638310953974724,6.441730511141941e-05,0.8265908360481262,-0.08204888552427292,0.375,1,13.52414024999598,13.522818875033408,0,1,1789099578.367059,-0.2222222238779068,3,-0.23449964821338654,5.219117641448975
154.71566701307893,13.782406459038612,0.0,13.333333432674408,0.9908794164657593,,0.0504731250111945,212,17129,1.2349084615707397,0.02340073511004448,0.00012585458171088248,0.825915515422821,-0.15340843796730042,0.625,2,13.679470875009429,13.678163917036727,0,1,1789099578.522389,-0.2222222238779068,3,-0.2202337235212326,8.355263710021973
153.70645897928625,13.980039959016722,0.0,13.333333432674408,0.994879961013794,,0.0074088749825023115,215,17277,-3.491621255874634,0.027759475633502007,0.00044627333409152925,0.8252416849136353,-0.10993868112564087,0.625,2,13.835294209013227,13.833742375019938,0,1,1789099578.678211,-0.2222222238779068,3,-0.16321133077144623,10.866231918334961
154.26541602937505,14.11490575002972,0.2,0.0,0.9988545179367065,,0.028472208010498434,217,17427,1.7030396461486816,0.03659598156809807,0.001521121826954186,0.8244616389274597,-0.05121247097849846,0.375,1,13.990710792015307,13.989112542010844,0,1,1789099578.833627,0.0,4,-0.033042021095752716,13.109502792358398
154.30966700660065,14.247282417025417,0.0,0.0,0.9869078397750854,,0.05115820898208767,219,17577,1.2085371017456055,0.04270167648792267,0.002206942765042186,0.8236538171768188,-0.09050194919109344,0.625,2,14.1457871250459,14.144130959000904,0,1,1789099578.988703,0.0,4,-0.008994797244668007,15.062808990478516
154.79629201581702,14.447143167024478,0.0,0.0,0.9986225366592407,,0.006617667037062347,222,17726,-3.087526321411133,0.04645693674683571,0.002842470770701766,0.8230887651443481,-0.14168255031108856,0.625,2,14.3005514999968,14.298964542045724,0,1,1789099579.143467,0.0,4,-0.0022898144088685513,16.415632247924805
153.91200000885874,14.581424917036202,0.0,0.0,0.9964171648025513,,0.026725083007477224,224,17878,1.7249712944030762,0.055201880633831024,0.004986882675439119,0.8223263621330261,-0.05561114847660065,0.625,2,14.4558152090176,14.45423800003482,0,1,1789099579.2987268,0.0,4,0.0986618846654892,17.457914352416992
153.40795798692852,14.715302875032648,0.0,-13.333333432674408,0.9858773946762085,,0.0472902919864282,226,18026,0.9644029140472412,0.06117749214172363,0.006563934497535229,0.8216444849967957,-0.038290638476610184,0.625,2,14.610521125025116,14.609185209032148,0,1,1789099579.453432,0.2222222238779068,5,0.10695960372686386,17.928598403930664
153.9501660154201,14.915914125042036,0.0,-13.333333432674408,0.9979498982429504,,0.0015447079786099494,229,18177,0.390271931886673,0.06520009785890579,0.007752697449177504,0.8211588859558105,-0.046206988394260406,0.625,2,14.764748624991626,14.763508667005226,0,1,1789099579.60766,0.2222222238779068,5,0.15446792542934418,17.98810386657715
153.72633299557492,15.048904750030488,0.0,-13.333333432674408,0.9861146211624146,,0.022314874979201704,231,18327,0.5287390947341919,0.06930463016033173,0.009016014635562897,0.8207433223724365,-0.0061415452510118484,0.625,2,14.919134958996437,14.917493292014115,0,1,1789099579.7620459,0.2222222238779068,5,0.1800081878900528,18.037879943847656
155.42283304966986,15.183366625045892,0.0,-13.333333432674408,0.9831935167312622,,0.045289917034097016,233,18476,0.5804411768913269,0.07310482114553452,0.010223381221294403,0.820389449596405,0.020192096009850502,0.625,2,15.07478795904899,15.073233709030319,0,1,1789099579.917696,0.2222222238779068,5,0.17889538407325745,17.51795768737793
154.3975830427371,15.382522875035647,0.0,-13.333333432674408,0.998225748538971,,0.0005566670442931354,236,18676,0.4211753308773041,0.07712184637784958,0.011601541191339493,0.8199188113212585,0.027696896344423294,0.625,2,15.230356709042098,15.228681959037203,0,1,1789099580.0732641,0.2222222238779068,5,0.16591283679008484,15.34380054473877
153.4253340214491,15.513747834018432,0.0,-13.333333432674408,0.9955411553382874,,0.04302000004099682,238,18826,0.2813047766685486,0.07974184304475784,0.012577882967889309,0.8194546699523926,0.04213165119290352,0.625,2,15.404975250014104,15.40334250003798,0,1,1789099580.247882,0.2222222238779068,5,0.13856221735477448,13.357844352722168
